pitcher_name,team_abb,season,era,fip,xfip,k_per_9,bb_per_9,k_pct,bb_pct,whip,ip,hr_per_9,gb_pct,lob_pct,war,fangraphs_id
Clayton Kershaw,LAD,2022,2.28,2.57,2.83,9.76,1.64,0.278,0.047,0.94,126.1,0.71,0.47100000000000003,0.794,3.9,2036
Martin Perez,TEX,2022,2.89,3.27,3.8,7.75,3.16,0.20600000000000002,0.084,1.26,196.1,0.5,0.514,0.77,3.9,6902
Nestor Cortes,NYY,2022,2.44,3.13,3.63,9.27,2.16,0.265,0.062,0.92,158.1,0.91,0.335,0.828,3.7,17874
Luis Castillo,- - -,2022,2.99,3.07,3.23,10.0,2.69,0.272,0.073,1.08,150.1,0.78,0.469,0.753,3.7,15689
Alex Cobb,SFG,2022,3.73,2.8,2.89,9.08,2.59,0.239,0.068,1.3,149.2,0.54,0.615,0.68,3.7,6562
Patrick Sandoval,LAA,2022,2.91,3.09,3.67,9.14,3.63,0.237,0.094,1.34,148.2,0.48,0.474,0.768,3.7,19447
Brandon Woodruff,MIL,2022,3.05,3.08,3.14,11.15,2.47,0.306,0.068,1.07,153.1,1.06,0.376,0.7859999999999999,3.6,16162
Shane McClanahan,TBR,2022,2.54,3.0,2.6,10.5,2.06,0.303,0.059000000000000004,0.93,166.1,1.03,0.502,0.805,3.6,21483
Blake Snell,SDP,2022,3.38,2.8,3.21,12.02,3.59,0.32,0.095,1.2,128.0,0.77,0.366,0.747,3.6,13543
Gerrit Cole,NYY,2022,3.5,3.47,2.77,11.53,2.24,0.324,0.063,1.02,200.2,1.48,0.424,0.782,3.4,13125
Cristian Javier,HOU,2022,2.54,3.16,3.53,11.74,3.15,0.332,0.08900000000000001,0.95,148.2,1.03,0.26,0.836,3.4,17606
Triston McKenzie,CLE,2022,2.96,3.59,3.77,8.94,2.07,0.256,0.059000000000000004,0.95,191.1,1.18,0.327,0.8029999999999999,3.4,18000
Joe Musgrove,SDP,2022,2.93,3.59,3.47,9.15,2.09,0.249,0.057,1.08,181.0,1.09,0.446,0.7979999999999999,3.4,12970
Julio Urias,LAD,2022,2.16,3.71,3.81,8.54,2.11,0.24100000000000002,0.06,0.96,175.0,1.18,0.397,0.866,3.2,14765
Merrill Kelly,ARI,2022,3.37,3.65,3.86,7.95,2.74,0.22,0.076,1.14,200.1,0.94,0.428,0.763,3.2,11156
Corey Kluber,TBR,2022,4.34,3.57,3.92,7.63,1.15,0.20199999999999999,0.03,1.21,164.0,1.1,0.361,0.7020000000000001,3.1,2429
Jeffrey Springs,TBR,2022,2.46,3.04,3.29,9.58,2.06,0.262,0.055999999999999994,1.07,135.1,0.93,0.409,0.823,3.1,17677
Logan Gilbert,SEA,2022,3.2,3.46,3.78,8.43,2.38,0.22699999999999998,0.064,1.18,185.2,0.92,0.36700000000000005,0.7759999999999999,3.0,22250
Drew Rasmussen,TBR,2022,2.84,3.26,3.56,7.71,1.91,0.214,0.053,1.04,146.0,0.8,0.466,0.76,3.0,25385
Ross Stripling,TOR,2022,3.01,3.11,3.67,7.44,1.34,0.207,0.037000000000000005,1.02,134.1,0.8,0.43799999999999994,0.736,3.0,13273
Brady Singer,KCR,2022,3.23,3.58,3.3,8.8,2.05,0.242,0.055999999999999994,1.14,153.1,1.06,0.49,0.7959999999999999,3.0,25377
Pablo Lopez,MIA,2022,3.75,3.71,3.56,8.7,2.65,0.23600000000000002,0.07200000000000001,1.17,180.0,1.05,0.461,0.742,3.0,17085
Edwin Diaz,NYM,2022,1.31,0.9,1.04,17.13,2.61,0.502,0.077,0.84,62.0,0.44,0.469,0.904,3.0,14710
Adam Wainwright,STL,2022,3.71,3.66,4.1,6.71,2.54,0.17800000000000002,0.067,1.28,191.2,0.75,0.43200000000000005,0.75,2.9,2233
George Kirby,SEA,2022,3.39,2.99,3.33,9.21,1.52,0.245,0.040999999999999995,1.21,130.0,0.9,0.455,0.7509999999999999,2.9,25436
Tarik Skubal,DET,2022,3.52,2.96,3.4,8.95,2.45,0.245,0.067,1.16,117.2,0.69,0.457,0.675,2.9,22267
Kyle Wright,ATL,2022,3.19,3.58,3.3,8.68,2.65,0.23600000000000002,0.07200000000000001,1.16,180.1,0.95,0.556,0.789,2.8,19665
Chris Bassitt,NYM,2022,3.42,3.66,3.72,8.27,2.43,0.22399999999999998,0.066,1.14,181.2,0.94,0.488,0.772,2.8,12304
Miles Mikolas,STL,2022,3.29,3.87,3.8,6.81,1.73,0.19,0.048,1.03,202.1,1.11,0.45,0.7440000000000001,2.8,9803
Jordan Montgomery,- - -,2022,3.48,3.61,3.43,7.97,1.82,0.218,0.05,1.09,178.1,1.06,0.47600000000000003,0.755,2.8,16511
Tony Gonsolin,LAD,2022,2.14,3.28,3.69,8.22,2.42,0.239,0.07,0.87,130.1,0.76,0.431,0.838,2.7,19388
Taijuan Walker,NYM,2022,3.49,3.65,3.88,7.55,2.57,0.203,0.069,1.19,157.1,0.86,0.462,0.757,2.7,11836
Carlos Carrasco,NYM,2022,3.97,3.53,3.45,9.0,2.43,0.23600000000000002,0.064,1.33,152.0,1.01,0.46,0.747,2.5,6632
Kyle Freeland,COL,2022,4.53,4.21,4.48,6.75,2.73,0.171,0.069,1.41,174.2,0.98,0.42,0.705,2.5,16256
Justin Steele,CHC,2022,3.18,3.2,3.48,9.53,3.78,0.24600000000000002,0.098,1.35,119.0,0.61,0.512,0.726,2.5,17312
Jameson Taillon,NYY,2022,3.91,3.94,3.79,7.66,1.62,0.207,0.044000000000000004,1.13,177.1,1.32,0.401,0.753,2.4,11674
Sonny Gray,MIN,2022,3.08,3.4,3.66,8.8,2.71,0.24,0.07400000000000001,1.13,119.2,0.83,0.445,0.772,2.4,12768
Johnny Cueto,CHW,2022,3.35,3.79,4.38,5.8,1.88,0.157,0.051,1.23,158.1,0.85,0.426,0.7490000000000001,2.4,6893
Ranger Suarez,PHI,2022,3.65,3.87,3.82,7.47,3.36,0.195,0.08800000000000001,1.33,155.1,0.87,0.5539999999999999,0.718,2.3,17277
Jesus Luzardo,MIA,2022,3.32,3.12,3.11,10.76,3.14,0.3,0.08800000000000001,1.04,100.1,0.9,0.401,0.7170000000000001,2.3,19959
Emmanuel Clase,CLE,2022,1.36,1.98,2.18,9.54,1.24,0.284,0.037000000000000005,0.73,72.2,0.37,0.639,0.723,2.3,21032
Joe Ryan,MIN,2022,3.55,3.99,4.35,9.24,2.88,0.25,0.078,1.1,147.0,1.22,0.27699999999999997,0.778,2.2,21390
Noah Syndergaard,- - -,2022,3.94,3.83,4.28,6.35,2.07,0.168,0.055,1.25,134.2,0.94,0.428,0.7240000000000001,2.2,11762
Evan Phillips,LAD,2022,1.14,1.94,2.72,11.0,2.14,0.33,0.064,0.76,63.0,0.29,0.456,0.83,2.2,17734
Reid Detmers,LAA,2022,3.77,3.79,4.2,8.51,3.21,0.226,0.085,1.21,129.0,0.91,0.36,0.741,2.2,27468
Devin Williams,MIL,2022,1.93,2.01,2.36,14.24,4.45,0.4,0.125,1.01,60.2,0.3,0.514,0.768,2.2,15816
Tyler Mahle,- - -,2022,4.4,3.87,4.03,9.4,3.21,0.25,0.085,1.22,120.2,1.19,0.35600000000000004,0.695,2.2,16358
Jacob deGrom,NYM,2022,3.08,2.13,1.53,14.27,1.12,0.42700000000000005,0.033,0.75,64.1,1.26,0.39399999999999996,0.7340000000000001,2.2,10954
Cal Quantrill,CLE,2022,3.38,4.12,4.39,6.18,2.27,0.166,0.061,1.21,186.1,1.01,0.42100000000000004,0.764,2.1,19312
Mitch Keller,PIT,2022,3.91,3.88,3.99,7.81,3.4,0.201,0.087,1.4,159.0,0.79,0.49,0.732,2.1,17594
Luis Garcia,HOU,2022,3.72,3.93,3.82,8.98,2.69,0.244,0.073,1.13,157.1,1.32,0.376,0.743,2.0,23735
Ryan Helsley,STL,2022,1.25,2.34,2.6,13.08,2.78,0.39299999999999996,0.084,0.74,64.2,0.84,0.34700000000000003,0.934,2.0,18138
Reynaldo Lopez,CHW,2022,2.76,1.93,3.28,8.68,1.52,0.248,0.043,0.95,65.1,0.14,0.387,0.633,2.0,16400
Marcus Stroman,CHC,2022,3.5,3.76,3.49,7.72,2.34,0.209,0.063,1.15,138.2,1.04,0.517,0.725,2.0,13431
A.J. Minter,ATL,2022,2.06,2.13,2.68,12.09,1.93,0.34700000000000003,0.055,0.91,70.0,0.64,0.385,0.767,2.0,18655
Frankie Montas,- - -,2022,4.05,3.78,3.61,8.85,2.68,0.23399999999999999,0.071,1.25,144.1,1.12,0.456,0.7090000000000001,2.0,14309
Freddy Peralta,MIL,2022,3.58,3.06,3.66,9.92,3.12,0.271,0.085,1.04,78.0,0.69,0.4,0.701,2.0,18679
Nick Lodolo,CIN,2022,3.66,3.9,3.49,11.41,3.4,0.297,0.08800000000000001,1.25,103.1,1.13,0.46,0.8009999999999999,1.9,26378
Zack Greinke,KCR,2022,3.68,4.03,4.54,4.8,1.77,0.125,0.046,1.34,137.0,0.92,0.413,0.7290000000000001,1.9,1943
JT Brubaker,PIT,2022,4.69,3.92,3.87,9.19,3.38,0.228,0.084,1.47,144.0,1.06,0.44,0.688,1.9,17578
Andres Munoz,SEA,2022,2.49,2.04,2.04,13.29,2.08,0.387,0.06,0.89,65.0,0.69,0.526,0.764,1.9,20373
Lucas Giolito,CHW,2022,4.9,4.06,3.66,9.85,3.4,0.254,0.087,1.44,161.2,1.34,0.385,0.711,1.8,15474
Kyle Gibson,PHI,2022,5.05,4.28,3.94,7.73,2.58,0.201,0.067,1.34,167.2,1.29,0.45899999999999996,0.677,1.8,10123
Dean Kremer,BAL,2022,3.23,3.8,4.43,6.25,2.44,0.17,0.066,1.25,125.1,0.79,0.39399999999999996,0.778,1.8,19350
Lance Lynn,CHW,2022,3.99,3.82,3.44,9.17,1.41,0.242,0.037000000000000005,1.13,121.2,1.41,0.423,0.684,1.8,2520
Rich Hill,BOS,2022,4.27,3.92,4.12,7.89,2.68,0.207,0.07,1.3,124.1,1.09,0.402,0.6829999999999999,1.8,4806
Jon Gray,TEX,2022,3.96,3.8,3.46,9.47,2.76,0.257,0.075,1.13,127.1,1.2,0.441,0.705,1.8,14916
Daniel Bard,COL,2022,1.79,2.86,3.3,10.29,3.73,0.282,0.102,0.99,60.1,0.45,0.517,0.816,1.8,7115
John Schreiber,BOS,2022,2.22,2.5,3.01,10.25,2.63,0.28800000000000003,0.07400000000000001,0.98,65.0,0.42,0.563,0.768,1.8,20020
Alex Wood,SFG,2022,5.1,3.76,3.41,9.02,2.07,0.23600000000000002,0.054000000000000006,1.24,130.2,1.17,0.48200000000000004,0.639,1.7,13781
Michael King,NYY,2022,2.29,2.23,2.42,11.65,2.82,0.332,0.08,1.0,51.0,0.53,0.47,0.769,1.7,19853
Trevor Stephan,CLE,2022,2.69,2.19,2.81,11.59,2.54,0.307,0.067,1.18,63.2,0.42,0.48100000000000004,0.735,1.7,19932
Jose Alvarado,PHI,2022,3.18,1.92,2.16,14.29,4.24,0.379,0.11199999999999999,1.22,51.0,0.35,0.561,0.698,1.7,17780
Erik Swanson,SEA,2022,1.68,1.85,2.72,11.74,1.68,0.34,0.049,0.91,53.2,0.5,0.325,0.852,1.7,16587
Robbie Ray,SEA,2022,3.71,4.17,3.58,10.1,2.95,0.27399999999999997,0.08,1.19,189.0,1.52,0.392,0.812,1.6,11486
Jose Suarez,LAA,2022,3.96,3.91,3.86,8.5,2.72,0.223,0.071,1.25,109.0,1.16,0.413,0.7559999999999999,1.6,19911
Hector Neris,HOU,2022,3.72,2.35,3.29,10.88,2.34,0.3,0.065,1.01,65.1,0.41,0.34600000000000003,0.634,1.6,11804
Hunter Greene,CIN,2022,4.44,4.37,3.64,11.75,3.44,0.309,0.09,1.21,125.2,1.72,0.293,0.763,1.6,22182
Liam Hendriks,CHW,2022,2.81,2.68,2.64,13.27,2.5,0.36200000000000004,0.068,1.04,57.2,1.09,0.349,0.7659999999999999,1.6,3548
Chris Martin,- - -,2022,3.05,2.18,2.01,11.89,0.8,0.32899999999999996,0.022000000000000002,0.98,56.0,0.96,0.49,0.7559999999999999,1.6,11847
Luis Garcia,SDP,2022,3.39,2.6,3.11,10.03,2.51,0.263,0.066,1.21,61.0,0.44,0.5329999999999999,0.682,1.6,6984
Caleb Thielbar,MIN,2022,3.49,2.42,3.07,12.13,2.73,0.327,0.073,1.16,59.1,0.76,0.295,0.6940000000000001,1.6,10078
Jimmy Herget,LAA,2022,2.48,2.82,3.48,8.22,1.96,0.237,0.055999999999999994,0.91,69.0,0.52,0.401,0.762,1.6,17556
Jordan Lyles,BAL,2022,4.42,4.4,4.39,7.24,2.61,0.18600000000000003,0.067,1.39,179.0,1.31,0.402,0.738,1.5,7593
Michael Wacha,BOS,2022,3.32,4.14,3.99,7.35,2.19,0.20199999999999999,0.06,1.12,127.1,1.27,0.41,0.8029999999999999,1.5,14078
Nick Pivetta,BOS,2022,4.56,4.42,4.26,8.77,3.66,0.226,0.094,1.38,179.2,1.35,0.385,0.753,1.5,15454
Luis Severino,NYY,2022,3.18,3.7,3.38,9.88,2.65,0.27699999999999997,0.07400000000000001,1.0,102.0,1.24,0.44299999999999995,0.799,1.5,15890
David Peterson,NYM,2022,3.83,3.64,3.31,10.73,4.09,0.278,0.106,1.33,105.2,0.94,0.494,0.7390000000000001,1.5,20302
Jordan Romano,TOR,2022,2.11,2.82,3.44,10.27,2.95,0.28300000000000003,0.081,1.02,64.0,0.56,0.43700000000000006,0.804,1.5,16122
Alex Vesia,LAD,2022,2.15,2.12,3.03,13.09,3.98,0.348,0.106,1.12,54.1,0.33,0.35,0.8140000000000001,1.5,25007
Rafael Montero,HOU,2022,2.37,2.64,3.22,9.61,3.03,0.27,0.085,1.02,68.1,0.4,0.529,0.737,1.5,12760
Braxton Garrett,MIA,2022,3.58,3.56,3.5,9.2,2.45,0.24100000000000002,0.064,1.25,88.0,0.92,0.478,0.764,1.5,21844
Jhoan Duran,MIN,2022,1.86,2.52,2.11,11.84,2.13,0.335,0.06,0.98,67.2,0.8,0.61,0.893,1.5,21029
Raisel Iglesias,- - -,2022,2.47,2.47,2.99,11.32,2.03,0.317,0.057,0.97,62.0,0.73,0.342,0.768,1.5,17130
Cole Irvin,OAK,2022,3.98,4.21,4.35,6.36,1.79,0.17300000000000001,0.049,1.16,181.0,1.24,0.377,0.7140000000000001,1.4,19244
Charlie Morton,ATL,2022,4.34,4.26,3.6,10.73,3.3,0.282,0.087,1.23,172.0,1.47,0.39799999999999996,0.76,1.4,4676
Graham Ashcraft,CIN,2022,4.89,4.21,4.09,6.09,2.57,0.153,0.065,1.42,105.0,0.94,0.545,0.6779999999999999,1.4,27552
Bryan Abreu,HOU,2022,1.94,2.12,2.69,13.13,3.88,0.355,0.105,1.18,60.1,0.3,0.485,0.8170000000000001,1.4,16609
Felix Bautista,BAL,2022,2.19,2.91,2.77,12.06,3.15,0.348,0.091,0.93,65.2,0.96,0.429,0.843,1.4,20666
Adrian Sampson,CHC,2022,3.11,3.79,4.39,6.3,2.33,0.171,0.063,1.23,104.1,0.86,0.4,0.7759999999999999,1.4,13339
Garrett Whitlock,BOS,2022,3.45,3.29,3.2,9.42,1.72,0.264,0.048,1.02,78.1,1.15,0.408,0.731,1.4,20191
Bryan Baker,BAL,2022,3.49,2.74,3.56,9.82,3.36,0.261,0.08900000000000001,1.23,69.2,0.39,0.424,0.708,1.4,19804
Collin McHugh,ATL,2022,2.6,2.71,3.24,9.74,1.82,0.276,0.051,0.94,69.1,0.65,0.39899999999999997,0.794,1.4,7531
David Bednar,PIT,2022,2.61,2.44,2.83,12.02,2.79,0.32899999999999996,0.076,1.12,51.2,0.7,0.33299999999999996,0.7490000000000001,1.4,19569
Ryan Pressly,HOU,2022,2.98,2.31,2.21,12.1,2.42,0.35700000000000004,0.071,0.89,48.1,0.74,0.461,0.695,1.4,7005
Giovanny Gallegos,STL,2022,3.05,2.88,3.51,11.14,2.75,0.311,0.077,1.02,59.0,0.92,0.275,0.7170000000000001,1.4,14986
Joe Jimenez,DET,2022,3.49,2.0,2.7,12.23,2.06,0.33299999999999996,0.055999999999999994,1.09,56.2,0.64,0.331,0.674,1.4,15761
Zach Eflin,PHI,2022,4.04,3.56,3.81,7.73,1.78,0.20800000000000002,0.048,1.12,75.2,0.95,0.445,0.66,1.4,13774
Antonio Senzatela,COL,2022,5.07,4.05,4.07,5.26,2.24,0.131,0.055999999999999994,1.69,92.1,0.88,0.494,0.7040000000000001,1.4,15488
Bailey Ober,MIN,2022,3.21,2.92,4.18,8.2,1.77,0.225,0.048,1.05,56.0,0.64,0.278,0.7040000000000001,1.4,21224
German Marquez,COL,2022,4.95,4.71,4.02,7.43,3.12,0.193,0.081,1.37,181.2,1.49,0.47600000000000003,0.6809999999999999,1.3,15038
Matt Moore,TEX,2022,1.95,2.98,3.87,10.09,4.62,0.273,0.125,1.18,74.0,0.36,0.439,0.8109999999999999,1.3,1890
Jakob Junis,SFG,2022,4.42,3.65,3.67,7.88,2.01,0.205,0.052000000000000005,1.29,112.0,1.04,0.431,0.703,1.3,13619
Aaron Civale,CLE,2022,4.92,3.87,3.62,9.09,2.04,0.24100000000000002,0.054000000000000006,1.19,97.0,1.3,0.41200000000000003,0.625,1.3,19479
Anthony Bass,- - -,2022,1.54,3.0,3.34,9.34,2.56,0.265,0.073,1.01,70.1,0.77,0.41200000000000003,0.895,1.3,7982
Jason Adam,TBR,2022,1.56,2.86,3.17,10.66,2.42,0.316,0.07200000000000001,0.76,63.1,0.71,0.457,0.894,1.3,11861
Brayan Bello,BOS,2022,4.71,2.94,3.8,8.63,4.24,0.205,0.10099999999999999,1.78,57.1,0.16,0.557,0.682,1.3,23920
Scott Effross,- - -,2022,2.54,2.46,3.18,9.85,2.38,0.271,0.066,1.06,56.2,0.48,0.446,0.669,1.3,18384
Mitch White,- - -,2022,5.45,3.87,4.42,7.09,3.18,0.177,0.08,1.46,99.0,0.82,0.43,0.635,1.3,19225
Clay Holmes,NYY,2022,2.54,2.85,2.9,9.19,2.83,0.25,0.077,1.02,63.2,0.28,0.758,0.7440000000000001,1.2,13649
Drew Smyly,CHC,2022,3.47,4.23,4.18,7.7,2.2,0.204,0.057999999999999996,1.19,106.1,1.35,0.401,0.785,1.2,11760
Camilo Doval,SFG,2022,2.53,2.98,3.04,10.64,3.99,0.28,0.105,1.24,67.2,0.53,0.564,0.737,1.2,21992
Jake Odorizzi,- - -,2022,4.4,4.28,4.7,7.28,2.96,0.19,0.077,1.33,106.1,1.18,0.317,0.691,1.2,6397
Pete Fairbanks,TBR,2022,1.13,0.86,1.12,14.25,1.13,0.43700000000000006,0.034,0.67,24.0,0.38,0.5329999999999999,0.89,1.2,17998
Eric Lauer,MIL,2022,3.69,4.5,4.08,8.91,3.35,0.23800000000000002,0.08900000000000001,1.22,158.2,1.53,0.336,0.79,1.1,19316
Dakota Hudson,STL,2022,4.45,4.34,4.82,5.03,3.93,0.131,0.102,1.45,139.2,0.58,0.53,0.706,1.1,19206
Sean Manaea,SDP,2022,4.96,4.53,3.96,8.89,2.85,0.23199999999999998,0.075,1.3,158.0,1.65,0.382,0.675,1.1,15873
Alexis Diaz,CIN,2022,1.84,3.32,3.97,11.73,4.66,0.325,0.129,0.96,63.2,0.71,0.303,0.8140000000000001,1.1,21132
Adam Ottavino,NYM,2022,2.06,2.85,2.79,10.83,2.19,0.306,0.062,0.97,65.2,0.82,0.519,0.8909999999999999,1.1,1247
Dylan Lee,ATL,2022,2.13,2.66,3.1,10.48,1.78,0.294,0.05,0.99,50.2,0.89,0.354,0.7909999999999999,1.1,19996
Kenley Jansen,ATL,2022,3.38,3.21,3.45,11.95,3.09,0.327,0.085,1.05,64.0,1.13,0.299,0.7609999999999999,1.1,3096
Andrew Heaney,LAD,2022,3.1,3.75,2.83,13.62,2.35,0.355,0.061,1.09,72.2,1.73,0.345,0.789,1.1,15423
Joe Mantiply,ARI,2022,2.85,2.83,2.52,9.15,0.9,0.251,0.025,1.08,60.0,0.9,0.535,0.772,1.1,14857
Jose Urquidy,HOU,2022,3.94,4.6,4.32,7.34,2.08,0.19699999999999998,0.055999999999999994,1.17,164.1,1.59,0.36,0.789,1.0,18413
Michael Lorenzen,LAA,2022,4.24,4.31,4.2,7.83,4.05,0.207,0.107,1.28,97.2,1.01,0.502,0.713,1.0,14843
Cionel Perez,BAL,2022,1.4,2.8,3.56,8.58,3.28,0.235,0.09,1.16,57.2,0.31,0.513,0.8740000000000001,1.0,19614
Brock Burke,TEX,2022,1.97,3.29,3.49,9.84,2.62,0.27399999999999997,0.073,1.06,82.1,0.98,0.396,0.838,1.0,17968
Tyler Wells,BAL,2022,4.25,4.52,4.6,6.6,2.43,0.18,0.066,1.14,103.2,1.39,0.366,0.727,1.0,20000
Seranthony Dominguez,PHI,2022,3.0,3.09,3.26,10.76,3.88,0.295,0.106,1.14,51.0,0.71,0.48,0.768,1.0,19249
Nathan Eovaldi,BOS,2022,3.87,4.3,3.46,8.48,1.65,0.22399999999999998,0.043,1.23,109.1,1.73,0.47,0.76,1.0,9132
Walker Buehler,LAD,2022,4.02,3.8,3.64,8.03,2.35,0.212,0.062,1.29,65.0,1.11,0.48,0.7490000000000001,1.0,19374
Adrian Houser,MIL,2022,4.73,4.21,4.64,6.05,4.12,0.152,0.10300000000000001,1.46,102.2,0.7,0.467,0.611,1.0,12718
Enyel De Los Santos,CLE,2022,3.04,2.62,3.17,10.29,2.87,0.284,0.079,1.07,53.1,0.51,0.39799999999999996,0.748,1.0,18403
Michael Kopech,CHW,2022,3.54,4.5,4.83,7.92,4.3,0.213,0.115,1.19,119.1,1.13,0.35700000000000004,0.742,1.0,17282
Austin Voth,- - -,2022,4.34,4.14,4.33,7.97,2.74,0.204,0.07,1.4,101.2,1.24,0.345,0.742,1.0,15047
J.P. Feyereisen,TBR,2022,0.0,1.67,3.56,9.25,1.85,0.29100000000000004,0.057999999999999996,0.49,24.1,0.0,0.33899999999999997,0.917,1.0,16610
Andrew Bellatti,PHI,2022,3.31,2.87,3.37,12.92,4.14,0.33899999999999997,0.109,1.33,54.1,0.83,0.27399999999999997,0.727,1.0,10657
Taylor Rogers,- - -,2022,4.76,3.31,3.26,11.75,2.66,0.307,0.069,1.18,64.1,0.98,0.424,0.635,1.0,13449
Sam Hentges,CLE,2022,2.32,2.48,2.67,10.45,2.76,0.294,0.078,0.97,62.0,0.44,0.615,0.782,1.0,18548
Wandy Peralta,NYY,2022,2.72,2.86,3.61,7.51,2.72,0.21100000000000002,0.076,1.05,56.1,0.32,0.539,0.7170000000000001,1.0,14295
Nick Nelson,PHI,2022,4.85,3.04,4.47,9.04,4.72,0.225,0.11800000000000001,1.49,68.2,0.13,0.39799999999999996,0.65,1.0,20153
James Karinchak,CLE,2022,2.08,2.29,3.11,14.31,4.85,0.38799999999999996,0.131,1.1,39.0,0.46,0.25,0.85,1.0,20151
Hunter Harvey,WSN,2022,2.52,2.07,3.4,10.3,2.75,0.287,0.076,1.14,39.1,0.23,0.39,0.757,1.0,15507
Matt Manning,DET,2022,3.43,3.78,4.37,6.86,2.71,0.183,0.07200000000000001,1.17,63.0,0.86,0.41,0.721,1.0,20369
Buck Farmer,CIN,2022,3.83,3.03,3.86,10.34,4.79,0.271,0.126,1.3,47.0,0.38,0.42700000000000005,0.693,1.0,14814
Brooks Raley,TBR,2022,2.68,2.74,3.28,10.23,2.52,0.27899999999999997,0.068,0.97,53.2,0.5,0.375,0.725,1.0,10061
Jose Berrios,TOR,2022,5.23,4.55,4.21,7.8,2.35,0.198,0.06,1.42,172.0,1.52,0.40299999999999997,0.7090000000000001,0.9,14168
Ian Anderson,ATL,2022,5.0,4.25,4.22,7.82,4.35,0.19699999999999998,0.11,1.51,111.2,0.97,0.479,0.698,0.9,19951
Scott Barlow,KCR,2022,2.18,3.62,3.42,9.32,2.66,0.266,0.076,1.0,74.1,1.09,0.47600000000000003,0.8390000000000001,0.9,14993
Griffin Jax,MIN,2022,3.36,3.17,3.32,9.71,2.49,0.26899999999999996,0.069,1.05,72.1,0.87,0.473,0.723,0.9,20253
John Brebbia,SFG,2022,3.18,3.32,4.5,7.15,2.38,0.188,0.063,1.31,68.0,0.66,0.363,0.759,0.9,12777
Craig Kimbrel,LAD,2022,3.75,3.23,4.04,10.8,4.2,0.27699999999999997,0.10800000000000001,1.32,60.0,0.6,0.397,0.6759999999999999,0.9,6655
Taylor Hearn,TEX,2022,5.13,3.98,4.2,8.73,3.87,0.21600000000000003,0.096,1.5,100.0,0.99,0.376,0.6759999999999999,0.9,18325
