pitcher_name,team_abb,season,era,fip,xfip,k_per_9,bb_per_9,k_pct,bb_pct,whip,ip,hr_per_9,gb_pct,lob_pct,war,fangraphs_id
Aaron Nola,PHI,2022,3.25,2.58,2.77,10.32,1.27,0.29100000000000004,0.036000000000000004,0.96,205.0,0.83,0.436,0.73,6.3,16149
Carlos Rodon,SFG,2022,2.88,2.25,2.91,11.98,2.63,0.33399999999999996,0.073,1.03,178.0,0.61,0.341,0.7509999999999999,6.2,16137
Justin Verlander,HOU,2022,1.75,2.49,3.23,9.51,1.49,0.278,0.044000000000000004,0.83,175.0,0.62,0.379,0.805,6.1,8700
Sandy Alcantara,MIA,2022,2.28,2.99,3.29,8.15,1.97,0.23399999999999999,0.055999999999999994,0.98,228.2,0.63,0.534,0.7879999999999999,5.9,18684
Shohei Ohtani,LAA,2022,2.33,2.4,2.65,11.87,2.39,0.332,0.067,1.01,166.0,0.76,0.419,0.831,5.6,19755
Kevin Gausman,TOR,2022,3.35,2.38,2.75,10.56,1.44,0.28300000000000003,0.039,1.24,174.2,0.77,0.392,0.74,5.5,14107
Max Fried,ATL,2022,2.48,2.7,3.09,8.26,1.55,0.23199999999999998,0.044000000000000004,1.01,185.1,0.58,0.512,0.782,4.9,13743
Spencer Strider,ATL,2022,2.67,1.83,2.3,13.81,3.08,0.38299999999999995,0.085,0.99,131.2,0.48,0.40299999999999997,0.741,4.9,27498
Shane Bieber,CLE,2022,2.88,2.87,2.98,8.91,1.62,0.25,0.046,1.04,200.0,0.81,0.48200000000000004,0.758,4.8,19427
Corbin Burnes,MIL,2022,2.94,3.14,2.85,10.83,2.27,0.305,0.064,0.97,202.0,1.02,0.47,0.768,4.6,19361
Max Scherzer,NYM,2022,2.29,2.62,3.23,10.71,1.49,0.306,0.042,0.91,145.1,0.81,0.311,0.833,4.5,3137
Framber Valdez,HOU,2022,2.82,3.06,2.99,8.67,3.0,0.235,0.081,1.16,201.1,0.49,0.665,0.757,4.4,17295
Dylan Cease,CHW,2022,2.2,3.1,3.5,11.1,3.82,0.304,0.10400000000000001,1.11,184.0,0.78,0.38799999999999996,0.823,4.4,18525
Yu Darvish,SDP,2022,3.1,3.31,3.58,9.11,1.71,0.256,0.048,0.95,194.2,1.02,0.369,0.782,4.2,13074
Logan Webb,SFG,2022,2.9,3.03,3.31,7.63,2.29,0.207,0.062,1.16,192.1,0.51,0.5670000000000001,0.718,4.2,17995
Zac Gallen,ARI,2022,2.54,3.05,3.31,9.39,2.3,0.26899999999999996,0.066,0.91,184.0,0.73,0.46,0.78,4.2,19291
Zack Wheeler,PHI,2022,2.82,2.89,3.06,9.59,2.0,0.26899999999999996,0.055999999999999994,1.04,153.0,0.76,0.45899999999999996,0.7709999999999999,4.2,10310
Tyler Anderson,LAD,2022,2.57,3.31,4.1,6.95,1.71,0.195,0.048,1.0,178.2,0.71,0.401,0.778,4.1,12880
Jose Quintana,- - -,2022,2.93,2.99,3.72,7.44,2.55,0.20199999999999999,0.069,1.21,165.2,0.43,0.46399999999999997,0.742,4.0,11423
Alek Manoah,TOR,2022,2.24,3.35,3.97,8.24,2.33,0.22899999999999998,0.065,0.99,196.2,0.73,0.375,0.826,3.9,26410
