pitcher_name,team_abb,season,era,fip,xfip,k_per_9,bb_per_9,k_pct,bb_pct,whip,ip,hr_per_9,gb_pct,lob_pct,war,fangraphs_id
Lance Lynn,STL,2024,3.84,4.31,4.39,8.36,3.38,0.213,0.086,1.34,117.1,1.23,0.363,0.7,1.3,2520
Frankie Montas,- - -,2024,4.84,4.71,4.26,8.84,3.94,0.226,0.10099999999999999,1.37,150.2,1.43,0.41600000000000004,0.6890000000000001,1.3,14309
Austin Gomber,COL,2024,4.75,4.83,4.5,6.33,2.07,0.16699999999999998,0.055,1.31,165.0,1.64,0.38,0.731,1.3,16561
Declan Cronin,MIA,2024,4.35,2.58,3.43,9.21,3.2,0.235,0.08199999999999999,1.42,70.1,0.13,0.5760000000000001,0.618,1.3,25645
Gavin Williams,CLE,2024,4.86,3.67,4.12,9.36,3.79,0.23800000000000002,0.096,1.37,76.0,0.83,0.406,0.669,1.3,30122
Chris Flexen,CHW,2024,4.95,4.8,5.03,6.92,3.54,0.174,0.08900000000000001,1.52,160.0,1.35,0.35600000000000004,0.71,1.3,13896
Calvin Faucher,MIA,2024,3.19,2.5,3.76,10.57,4.36,0.268,0.111,1.4,53.2,0.0,0.46399999999999997,0.684,1.3,20116
Casey Mize,DET,2024,4.49,3.95,4.04,6.86,2.55,0.17300000000000001,0.064,1.47,102.1,0.97,0.49,0.695,1.3,20492
Ben Brown,CHC,2024,3.58,3.11,3.63,10.41,3.09,0.28800000000000003,0.086,1.08,55.1,0.81,0.387,0.722,1.3,23590
JP Sears,OAK,2024,4.38,4.71,4.86,6.82,2.44,0.18100000000000002,0.065,1.22,180.2,1.39,0.373,0.725,1.2,23429
Jhoan Duran,MIN,2024,3.64,2.85,2.7,10.93,2.48,0.289,0.066,1.16,54.1,0.66,0.609,0.615,1.2,21029
Joe Mantiply,ARI,2024,3.92,2.51,3.71,7.99,2.72,0.218,0.07400000000000001,1.17,59.2,0.15,0.53,0.627,1.2,14857
Will Vest,DET,2024,2.82,2.83,3.47,8.06,2.3,0.218,0.062,1.12,70.1,0.38,0.485,0.758,1.2,19769
Clay Holmes,NYY,2024,3.14,3.02,3.01,9.71,3.14,0.251,0.081,1.3,63.0,0.57,0.65,0.705,1.2,13649
Dennis Santana,- - -,2024,3.89,3.01,3.95,8.67,2.64,0.24,0.073,1.09,71.2,0.5,0.361,0.6409999999999999,1.2,17878
Fernando Cruz,CIN,2024,4.86,3.27,2.67,14.72,4.73,0.37799999999999995,0.122,1.34,66.2,1.22,0.35700000000000004,0.698,1.2,7048
Grant Holmes,ATL,2024,3.56,3.2,3.52,9.22,1.98,0.248,0.053,1.19,68.1,0.92,0.43799999999999994,0.765,1.2,16944
Patrick Sandoval,LAA,2024,5.08,3.87,4.04,9.15,3.95,0.22899999999999998,0.099,1.51,79.2,0.9,0.45,0.662,1.2,19447
