pitcher_name,team_abb,season,era,fip,xfip,k_per_9,bb_per_9,k_pct,bb_pct,whip,ip,hr_per_9,gb_pct,lob_pct,war,fangraphs_id
Zack Wheeler,PHI,2023,3.61,3.15,3.54,9.94,1.83,0.26899999999999996,0.05,1.08,192.0,0.94,0.41200000000000003,0.713,5.9,10310
Spencer Strider,ATL,2023,3.86,2.85,2.92,13.55,2.8,0.368,0.076,1.09,186.2,1.06,0.341,0.703,5.5,27498
Sonny Gray,MIN,2023,2.79,2.83,3.64,8.95,2.69,0.243,0.073,1.15,184.0,0.39,0.473,0.768,5.4,12768
Gerrit Cole,NYY,2023,2.63,3.16,3.6,9.56,2.07,0.27,0.057999999999999996,0.98,209.0,0.86,0.396,0.804,5.3,13125
Kevin Gausman,TOR,2023,3.16,2.97,3.22,11.53,2.68,0.311,0.07200000000000001,1.18,185.0,0.92,0.426,0.7659999999999999,5.3,14107
Zac Gallen,ARI,2023,3.47,3.26,3.49,9.43,2.01,0.26,0.055999999999999994,1.12,210.0,0.94,0.418,0.731,5.2,19291
Zach Eflin,TBR,2023,3.5,3.01,3.12,9.42,1.22,0.265,0.034,1.02,177.2,0.96,0.498,0.732,4.9,13774
Logan Webb,SFG,2023,3.25,3.16,2.95,8.08,1.29,0.228,0.036000000000000004,1.07,216.0,0.83,0.621,0.737,4.9,17995
Justin Steele,CHC,2023,3.06,3.02,3.32,9.14,1.87,0.24600000000000002,0.05,1.17,173.1,0.73,0.494,0.73,4.8,17312
Pablo Lopez,MIN,2023,3.66,3.33,3.28,10.86,2.23,0.292,0.06,1.15,194.0,1.11,0.452,0.762,4.6,17085
Framber Valdez,HOU,2023,3.45,3.5,3.39,9.09,2.59,0.248,0.071,1.13,198.0,0.86,0.542,0.7120000000000001,4.4,17295
George Kirby,SEA,2023,3.35,3.34,3.63,8.12,0.9,0.22699999999999998,0.025,1.04,190.2,1.04,0.442,0.7509999999999999,4.2,25436
Jordan Montgomery,- - -,2023,3.2,3.56,4.01,7.92,2.29,0.214,0.062,1.19,188.2,0.86,0.43200000000000005,0.7559999999999999,4.2,16511
Blake Snell,SDP,2023,2.25,3.44,3.62,11.7,4.95,0.315,0.133,1.19,180.0,0.75,0.444,0.867,4.1,13543
Kyle Bradish,BAL,2023,2.83,3.27,3.53,8.96,2.35,0.25,0.066,1.04,168.2,0.75,0.49200000000000005,0.7909999999999999,3.9,24586
Aaron Nola,PHI,2023,4.46,4.03,3.63,9.39,2.09,0.255,0.057,1.15,193.2,1.49,0.426,0.664,3.8,16149
Jesus Luzardo,MIA,2023,3.58,3.55,3.72,10.48,2.77,0.281,0.07400000000000001,1.21,178.2,1.11,0.402,0.7490000000000001,3.8,19959
Dylan Cease,CHW,2023,4.58,3.72,4.08,10.88,4.02,0.273,0.10099999999999999,1.42,177.0,0.97,0.36,0.6940000000000001,3.6,18525
Justin Verlander,- - -,2023,3.22,3.85,4.56,7.98,2.49,0.215,0.067,1.13,162.1,1.0,0.355,0.769,3.4,8700
Kodai Senga,NYM,2023,2.98,3.63,3.77,10.93,4.17,0.29100000000000004,0.111,1.22,166.1,0.92,0.447,0.8029999999999999,3.4,31838
Corbin Burnes,MIL,2023,3.39,3.81,3.8,9.29,3.07,0.255,0.084,1.07,193.2,1.02,0.441,0.7490000000000001,3.4,19361
Luis Castillo,SEA,2023,3.34,3.81,3.81,10.01,2.56,0.273,0.07,1.1,197.0,1.28,0.389,0.77,3.3,15689
Tarik Skubal,DET,2023,2.8,2.0,2.56,11.43,1.57,0.32899999999999996,0.045,0.9,80.1,0.45,0.516,0.677,3.3,22267
Mitch Keller,PIT,2023,4.21,3.8,3.7,9.73,2.55,0.255,0.067,1.25,194.1,1.16,0.43700000000000006,0.7170000000000001,3.2,17594
Merrill Kelly,ARI,2023,3.29,3.85,3.83,9.47,3.5,0.259,0.096,1.19,177.2,1.01,0.452,0.7709999999999999,3.2,11156
Tyler Glasnow,TBR,2023,3.53,2.91,2.75,12.15,2.78,0.33399999999999996,0.076,1.08,120.0,0.98,0.512,0.7,3.2,14374
Eduardo Rodriguez,DET,2023,3.3,3.66,4.06,8.43,2.83,0.23,0.077,1.15,152.2,0.88,0.41,0.759,3.1,13164
Braxton Garrett,MIA,2023,3.66,3.68,3.42,8.79,1.63,0.237,0.044000000000000004,1.15,159.2,1.13,0.491,0.759,3.1,21844
Logan Gilbert,SEA,2023,3.73,3.85,3.76,8.92,1.7,0.245,0.047,1.08,190.2,1.37,0.414,0.7509999999999999,3.0,22250
