team_abb,statcast_xwoba,statcast_barrel_pct,statcast_hard_hit_pct,statcast_avg_ev,statcast_n_batted,statcast_avg_la,period_start,type
ATH,0.3667501427510305,0.06759443339960239,0.34393638170974156,87.47912524850895,503,12.119284294234593,2024-03-20,batting
ATL,0.4130787654667865,0.08737864077669903,0.4621359223300971,90.51106796116504,515,12.794573643410853,2024-03-20,batting
AZ,0.36218318131692595,0.07386363636363637,0.4034090909090909,88.32144886363636,704,8.901988636363637,2024-03-20,batting
BAL,0.41249590963883437,0.09665427509293681,0.4516728624535316,90.18104089219331,538,14.53903345724907,2024-03-20,batting
BOS,0.37068179947816243,0.07154742096505824,0.39267886855241263,88.76955074875208,601,14.204658901830284,2024-03-20,batting
CHC,0.3863891469774548,0.07115384615384615,0.4173076923076923,90.00211538461538,520,14.721153846153847,2024-03-20,batting
CIN,0.4001971934498282,0.08370044052863436,0.4118942731277533,88.47753303964758,454,11.385462555066079,2024-03-20,batting
CLE,0.34657783356260213,0.04472843450479233,0.34185303514376997,87.21421725239617,626,13.156549520766774,2024-03-20,batting
COL,0.35366749581254864,0.058823529411764705,0.41360294117647056,88.9626838235294,544,11.529411764705882,2024-03-20,batting
CWS,0.3465087679646604,0.06073752711496746,0.3405639913232104,86.76095444685467,461,12.71583514099783,2024-03-20,batting
DET,0.3685520933116806,0.06744868035190615,0.37390029325513197,87.47961876832845,682,16.0,2024-03-20,batting
HOU,0.3762520182608309,0.0705521472392638,0.401840490797546,89.15874233128834,652,14.66564417177914,2024-03-20,batting
KC,0.3911062423514483,0.0945945945945946,0.40733590733590735,89.50675675675676,518,12.758687258687258,2024-03-20,batting
LAA,0.39110015064640297,0.08089500860585198,0.4010327022375215,88.55249569707401,581,13.738831615120274,2024-03-20,batting
LAD,0.4093764427610556,0.07730263157894737,0.42598684210526316,89.25115131578947,608,15.348684210526315,2024-03-20,batting
MIA,0.3502220980185755,0.05956678700361011,0.3483754512635379,87.66750902527076,554,8.913513513513514,2024-03-20,batting
MIL,0.37450109731931863,0.08249496981891348,0.38832997987927564,87.76961770623743,497,11.9476861167002,2024-03-20,batting
MIN,0.34769952283967404,0.058704453441295545,0.37449392712550605,88.35526315789474,494,12.48582995951417,2024-03-20,batting
