game_date,home_team,away_team,home_win_prob,ml_pred,actual_win,ml_correct,predicted_total,actual_total,ou_error,home_covers_prob,rl_pred,actual_rl,rl_correct
2024-03-31,KC,MIN,0.433,0,1,0,9.7,11.0,-1.3,0.3721,0,1,0
2024-04-01,LAD,SF,0.5364,1,1,1,10.81,11.0,-0.19,0.5315,1,1,1
2024-04-01,AZ,NYY,0.5233,1,0,0,6.81,7.0,-0.19,0.2,0,0,1
2024-04-01,SD,STL,0.5364,1,0,0,8.78,8.0,0.78,0.3125,0,0,1
2024-04-01,SEA,CLE,0.4466,0,1,0,9.43,9.0,0.43,0.2453,0,0,1
2024-04-01,OAK,BOS,0.1494,0,0,1,10.91,9.0,1.91,0.1356,0,0,1
2024-04-01,HOU,TOR,0.4947,0,1,0,7.77,10.0,-2.23,0.3469,0,1,0
2024-04-01,NYM,DET,0.5233,1,0,0,7.32,5.0,2.32,0.3295,0,0,1
2024-04-01,TB,TEX,0.4947,0,0,1,8.08,12.0,-3.92,0.3295,0,0,1
2024-04-01,PHI,CIN,0.5814,1,0,0,7.47,9.0,-1.53,0.5315,1,0,0
2024-04-01,BAL,KC,0.3657,0,1,0,8.63,10.0,-1.37,0.3295,0,1,0
2024-04-01,WSH,PIT,0.5814,1,0,0,8.03,12.0,-3.97,0.2941,0,0,1
2024-04-01,CHC,COL,0.6842,1,1,1,9.3,5.0,4.3,0.5315,1,1,1
2024-04-01,CWS,ATL,0.5233,1,0,0,10.99,9.0,1.99,0.3295,0,0,1
2024-04-01,MIA,LAA,0.5233,1,0,0,9.48,11.0,-1.52,0.3295,0,0,1
2024-04-02,OAK,BOS,0.3657,0,0,1,9.65,9.0,0.65,0.1356,0,0,1
2024-04-02,LAD,SF,0.4667,0,1,0,8.76,9.0,-0.24,0.3469,0,0,1
2024-04-02,AZ,NYY,0.4211,0,1,0,8.46,7.0,1.46,0.2453,0,1,0
2024-04-02,SD,STL,0.5364,1,0,0,7.69,7.0,0.69,0.5315,1,0,0
2024-04-02,SEA,CLE,0.1538,0,0,1,6.16,7.0,-0.84,0.1356,0,0,1
2024-04-02,HOU,TOR,0.5245,1,0,0,7.02,3.0,4.02,0.5315,1,0,0
2024-04-02,CHC,COL,0.4667,0,1,0,10.18,14.0,-3.82,0.3529,0,1,0
2024-04-02,TB,TEX,0.6842,1,1,1,7.48,7.0,0.48,0.3529,0,1,0
2024-04-02,MIA,LAA,0.525,1,0,0,8.91,4.0,4.91,0.5315,1,0,0
2024-04-02,PHI,CIN,0.5814,1,1,1,10.51,13.0,-2.49,0.5315,1,1,1
2024-04-02,BAL,KC,0.5364,1,0,0,8.92,5.0,3.92,0.3295,0,0,1
2024-04-02,MIL,MIN,0.5814,1,1,1,11.16,5.0,6.16,0.3295,0,0,1
2024-04-02,CWS,ATL,0.5364,1,1,1,7.22,5.0,2.22,0.2941,0,0,1
2024-04-03,WSH,PIT,0.5814,1,1,1,9.25,8.0,1.25,0.3529,0,1,0
2024-04-03,LAD,SF,0.4947,0,1,0,9.14,9.0,0.14,0.5315,1,0,0
2024-04-03,HOU,TOR,0.525,1,1,1,7.92,8.0,-0.08,0.3295,0,1,0
2024-04-03,CHC,COL,0.5814,1,1,1,7.47,17.0,-9.53,0.3469,0,0,1
2024-04-03,SD,STL,0.6842,1,1,1,9.44,5.0,4.44,0.3469,0,0,1
2024-04-03,SEA,CLE,0.5814,1,0,0,8.64,8.0,0.64,0.2941,0,0,1
2024-04-03,PHI,CIN,0.5814,1,0,0,9.83,5.0,4.83,0.5315,1,0,0
2024-04-03,OAK,BOS,0.5364,1,0,0,8.97,1.0,7.97,0.2941,0,0,1
2024-04-03,MIL,MIN,0.4667,0,0,1,10.43,10.0,0.43,0.2941,0,0,1
2024-04-03,MIA,LAA,0.5364,1,0,0,7.27,12.0,-4.73,0.3529,0,0,1
2024-04-03,TB,TEX,0.4947,0,0,1,8.35,5.0,3.35,0.3295,0,0,1
2024-04-03,BAL,KC,0.5233,1,1,1,7.92,7.0,0.92,0.2453,0,0,1
2024-04-03,AZ,NYY,0.4947,0,0,1,8.66,11.0,-2.34,0.2453,0,0,1
2024-04-04,STL,MIA,0.3657,0,1,0,10.89,13.0,-2.11,0.2941,0,1,0
2024-04-04,NYM,DET,0.4947,0,0,1,10.66,,,0.3295,0,0,1
2024-04-04,NYM,DET,0.4947,0,0,1,10.66,,,0.3295,0,0,1
2024-04-04,NYM,DET,0.4947,0,0,1,10.66,9.0,1.66,0.3295,0,0,1
2024-04-04,NYM,DET,0.5233,1,1,1,8.14,3.0,5.14,0.5315,1,0,0
2024-04-04,WSH,PIT,0.3657,0,0,1,8.92,11.0,-2.08,0.2453,0,0,1
2024-04-04,MIN,CLE,0.5233,1,0,0,7.78,6.0,1.78,0.2453,0,0,1
2024-04-04,KC,CWS,0.5364,1,1,1,7.41,11.0,-3.59,0.5315,1,1,1
2024-04-05,TEX,HOU,0.1538,0,1,0,8.49,12.0,-3.51,0.2453,0,1,0
2024-04-05,KC,CWS,0.1538,0,1,0,8.1,3.0,5.1,0.2453,0,0,1
2024-04-05,LAA,BOS,0.3657,0,0,1,12.03,14.0,-1.97,0.1356,0,0,1
2024-04-05,ATL,AZ,0.5814,1,1,1,10.49,11.0,-0.51,0.3295,0,0,1
2024-04-05,MIL,SEA,0.525,1,1,1,7.89,11.0,-3.11,0.2453,0,0,1
2024-04-05,CIN,NYM,0.4667,0,0,1,7.51,5.0,2.51,0.2453,0,0,1
2024-04-05,WSH,PHI,0.3657,0,0,1,9.08,4.0,5.08,0.2453,0,0,1
2024-04-05,PIT,BAL,0.3657,0,0,1,8.4,7.0,1.4,0.2,0,0,1
2024-04-05,COL,TB,0.4947,0,1,0,14.08,17.0,-2.92,0.2941,0,1,0
2024-04-05,CHC,LAD,0.4947,0,1,0,9.07,16.0,-6.93,0.2453,0,1,0
2024-04-05,DET,OAK,0.5364,1,1,1,5.95,9.0,-3.05,0.3125,0,0,1
2024-04-05,NYY,TOR,0.5814,1,0,0,8.4,3.0,5.4,0.5315,1,0,0
2024-04-05,SF,SD,0.5814,1,1,1,8.19,5.0,3.19,0.2941,0,0,1
2024-04-06,LAA,BOS,0.3077,0,1,0,10.1,3.0,7.1,0.1356,0,0,1
2024-04-06,SF,SD,0.1845,0,0,1,9.32,4.0,5.32,0.1356,0,0,1
2024-04-06,COL,TB,0.3657,0,0,1,16.54,14.0,2.54,0.3295,0,0,1
2024-04-06,MIL,SEA,0.3657,0,0,1,9.11,8.0,1.11,0.2453,0,0,1
2024-04-06,KC,CWS,0.4211,0,1,0,6.0,3.0,3.0,0.2941,0,1,0
2024-04-06,NYY,TOR,0.6842,1,1,1,7.76,17.0,-9.24,0.5315,1,0,0
2024-04-06,TEX,HOU,0.3657,0,1,0,10.27,9.0,1.27,0.2453,0,1,0
2024-04-06,ATL,AZ,0.4972,0,1,0,8.03,17.0,-8.97,0.3295,0,0,1
2024-04-06,WSH,PHI,0.5,1,0,0,8.13,7.0,1.13,0.2941,0,0,1
2024-04-06,PIT,BAL,0.5233,1,1,1,8.65,9.0,-0.35,0.2453,0,0,1
2024-04-06,CHC,LAD,0.3214,0,0,1,9.62,5.0,4.62,0.1356,0,0,1
2024-04-06,STL,MIA,0.5233,1,1,1,9.45,4.0,5.45,0.2453,0,1,0
2024-04-06,MIN,CLE,0.5814,1,0,0,9.53,4.0,5.53,0.5315,1,0,0
2024-04-06,DET,OAK,0.4947,0,0,1,9.3,4.0,5.3,0.1356,0,0,1
2024-04-06,CIN,NYM,0.5233,1,1,1,8.18,15.0,-6.82,0.2941,0,1,0
2024-04-07,LAA,BOS,0.3657,0,0,1,9.86,14.0,-4.14,0.1356,0,0,1
2024-04-07,SF,SD,0.5814,1,1,1,8.49,5.0,3.49,0.3295,0,0,1
2024-04-07,COL,TB,0.5364,1,0,0,12.11,5.0,7.11,0.5315,1,0,0
